NAICS8_DESC|NAICS8
Plumbing & heating equipment & supplies (hydronics) whsle|42172000
Warm air heating & air-conditioning equipment & supplies whsle|42173000
Refrigeration equipment & supplies whsle|42174000
Construction & mining (except petroleum) machinery & equip whsle|42181000
Farm & garden machinery & equipment whsle|42182000
Industrial machinery & equipment whsle|42183000
Industrial supplies whsle|42184000
Service establishment equipment & supplies whsle|42185000
Transportation equipment & supplies (exc motor vehicle) whsle|42186000
Sporting & recreational goods & supplies whsle|42191000
Toy & hobby goods & supplies whsle|42192000
Recyclable material whsle|42193000
Jewelry/watch/silverware/precious stone, & precious metal whsle|42194000
Other miscellaneous durable goods whsle|42199000
Printing & writing paper whsle|42211000
Stationery & office supplies whsle|42212000
Industrial & personal service paper whsle|42213000
Drugs, & druggists' sundries whsle|42221000
Piece goods, notions, & other dry goods whsle|42231000
Men's & boys' clothing & furnishings whsle|42232000
Women's, children's, & infants' clothing & accessories whsle|42233000
Footwear whsle|42234000
General-line grocery whsle|42241000
Packaged frozen food whsle|42242000
Dairy products, (except dried or canned) whsle|42243000
Poultry & poultry product whsle|42244000
Confectionery whsle|42245000
Fish & seafood whsle|42246000
Meat & meat product whsle|42247000
Fresh fruit & vegetable whsle|42248000
Other grocery & related products whsle|42249000
Grain & field bean whsle|42251000
Livestock whsle|42252000
Other farm product raw material whsle|42259000
Plastics materials & basic forms & shapes whsle|42261000
Other chemical & allied products whsle|42269000
Petroleum bulk stations & terminals|42271000
Petroleum & petroleum prod whsle (exc bulk stations & terminals)|42272000
Beer & ale whsle|42281000
Wine & distilled alcoholic beverage whsle|42282000
Farm supplies whsle|42291000
Book, periodical, & newspaper whsle|42292000
Flower, nursery stock, & florists' supplies whsle|42293000
Tobacco & tobacco product whsle|42294000
Paint, varnish, & supplies whsle|42295000
Other miscellaneous nondurable goods whsle|42299000
New car dealers|44111000
Used car dealers|44112000
Recreational vehicle dealers|44121000
Motorcycle dealers|44122100
Boat dealers|44122200
All other motor vehicle dealers|44122900
Automotive parts & accessories stores|44131000
Tire dealers|44132000
Furniture stores|44211000
Floor covering stores|44221000
Window treatment stores|44229100
All other home furnishings stores|44229900
Household appliance stores|44311100
Radio, television, & other electronics stores|44311200
Computer & software stores|44312000
Camera & photographic supplies stores|44313000
Home centers|44411000
Paint & wallpaper stores|44412000
Hardware stores|44413000
Other building material dealers|44419000
Outdoor power equipment stores|44421000
Nursery & garden centers|44422000
Supermarkets & other grocery (except convenience) stores|44511000
Convenience stores|44512000
Meat markets|44521000
Fish & seafood markets|44522000
Fruit & vegetable markets|44523000
Baked goods stores|44529100
Confectionery & nut stores|44529200
All other specialty food stores|44529900
Beer, wine, & liquor stores|44531000
Pharmacies & drug stores|44611000
Cosmetics, beauty supplies, & perfume stores|44612000
Optical goods stores|44613000
Food (health) supplement stores|44619100
All other health & personal care stores|44619900
Gasoline stations with convenience stores|44711000
Other gasoline stations|44719000
Men's clothing stores|44811000
Women's clothing stores|44812000
Children's & infants' clothing stores|44813000
Family clothing stores|44814000
Clothing accessories stores|44815000
Other clothing stores|44819000
Shoe stores|44821000
Jewelry stores|44831000
Luggage & leather goods stores|44832000
Sporting goods stores|45111000
Hobby, toy, & game stores|45112000
Sewing, needlework, & piece goods stores|45113000
Musical instrument & supplies stores|45114000
Book stores|45121100
News dealers & newsstands|45121200
Prerecorded tape, compact disc, & record stores|45122000
Department stores (excl leased depts)|45211000
Warehouse clubs & superstores|45291000
All other general merchandise stores|45299000
Florists|45311000
Office supplies & stationery stores|45321000
Gift, novelty, & souvenir stores|45322000
Used merchandise stores|45331000
Pet & pet supplies stores|45391000
Art dealers|45392000
Manufactured (mobile) home dealers|45393000
Tobacco stores|45399100
All other miscellaneous store retailers (except tobacco stores)|45399800
Electronic shopping & mail-order houses|45411000
Vending machine operators|45421000
Heating oil dealers|45431100
Liquefied petroleum gas (bottled gas) dealers|45431200
Other fuel dealers|45431900
Other direct selling establishments|45439000
Scheduled passenger air transportation %%|48111100
Scheduled freight air transportation|48111200
Nonscheduled chartered passenger air transportation|48121100
Nonscheduled chartered freight air transportation|48121200
Other nonscheduled air transportation|48121900
Line-haul railroads **|48211100
Short line railroads **|48211200
Deep sea freight transportation|48311100
Deep sea passenger transportation|48311200
Coastal & Great Lakes freight transportation|48311300
Coastal & Great Lakes passenger transportation|48311400
Inland water freight transportation|48321100
Inland water passenger transportation|48321200
General freight trucking, local|48411000
General freight trucking, long-distance, truckload|48412100
General freight trucking, long-distance, less than truckload|48412200
Used household & office goods moving|48421000
Specialized freight (except used goods) trucking, local|48422000
Specialized freight (except used goods) trucking, long-distance|48423000
Mixed mode transit systems|48511100
Commuter rail systems|48511200
Bus & motor vehicle transit systems|48511300
Other urban transit systems|48511900
Interurban & rural bus transportation|48521000
Taxi service|48531000
Limousine service|48532000
School & employee bus transportation|48541000
Charter bus industry|48551000
Special needs transportation|48599100
All other transit & ground passenger transportation|48599900
Pipeline transportation of crude oil|48611000
Pipeline transportation of natural gas|48621000
Pipeline transportation of refined petroleum products|48691000
All other pipeline transportation|48699000
Scenic & sightseeing transportation, land|48711000
Scenic & sightseeing transportation, water|48721000
Scenic & sightseeing transportation, other|48799000
Air traffic control|48811100
Other airport operations|48811900
Other support activities for air transportation|48819000
Support activities for rail transportation|48821000
Port & harbor operations|48831000
Marine cargo handling|48832000
Navigational services to shipping|48833000
Other support activities for water transportation|48839000
Motor vehicle towing|48841000
Other support activities for road transportation|48849000
Freight transportation arrangement|48851000
Packing & crating|48899100
All other support activities for transportation|48899900
Postal service **|49111000
Couriers|49211000
Local messengers & local delivery|49221000
General warehousing & storage|49311000
Refrigerated warehousing & storage|49312000
Farm product warehousing & storage|49313000
Other warehousing & storage|49319000
Newspaper publishers|51111000
Periodical publishers|51112000
Book publishers|51113000
Database & directory publishers|51114000
Greeting card publishers|51119100
All other publishers|51119900
Software publishers|51121000
Motion picture & video production|51211000
Motion picture & video distribution|51212000
Motion picture theaters (except drive-ins)|51213100
Drive-in motion picture theaters|51213200
Teleproduction & other postproduction services|51219100
Other motion picture & video industries|51219900
Record production|51221000
Integrated record production/distribution|51222000
Music publishers|51223000
Sound recording studios|51224000
Other sound recording industries|51229000
Radio networks|51311100
Radio stations|51311200
Television broadcasting|51312000
Cable networks|51321000
Cable & other program distribution|51322000
Wired telecommunications carriers|51331000
Paging|51332100
Cellular & other wireless telecommunications|51332200
Telecommunications resellers|51333000
Satellite telecommunications|51334000
Other telecommunications|51339000
News syndicates|51411000
Libraries & archives|51412000
On-line information services|51419100
All other information services|51419900
Data processing services|51421000
Monetary authorities - central bank|52111000
Commercial banking|52211000
Savings institutions|52212000
Credit unions|52213000
Other depository credit intermediation|52219000
Credit card issuing|52221000
Sales financing|52222000
Consumer lending|52229100
Real estate credit|52229200
International trade financing|52229300
Secondary market financing|52229400
All other nondepository credit intermediation|52229800
Mortgage & nonmortgage loan brokers|52231000
Financial transactions processing, reserve, & clearinghouse act|52232000
Other activities related to credit intermediation|52239000
Investment banking & securities dealing|52311000
Securities brokerage|52312000
Commodity contracts dealing|52313000
Commodity contracts brokerage|52314000
Securities & commodity exchanges|52321000
Miscellaneous intermediation|52391000
Portfolio management|52392000
Investment advice|52393000
Trust, fiduciary, & custody activities|52399100
Miscellaneous financial investment activities|52399900
Direct life insurance carriers|52411300
Direct health & medical insurance carriers|52411400
Direct property & casualty insurance carriers|52412600
Direct title insurance carriers|52412700
All other direct insurance carriers|52412800
Reinsurance carriers|52413000
Insurance agencies & brokerages|52421000
Claims adjusting|52429100
Third party administration of insurance & pension funds|52429200
All other insurance related activities|52429800
Open-End Investment Funds|52591000
Real Estate Investment Trusts (REITs)|52593000
Other Financial Vehicles|52599000
Lessors of residential buildings & dwellings|53111000
Lessors of nonresidential buildings (except miniwarehouses)|53112000
Lessors of miniwarehouses & self storage units|53113000
Lessors of other real estate property|53119000
Offices of real estate agents & brokers|53121000
Residential property managers|53131100
Nonresidential property managers|53131200
Offices of real estate appraisers|53132000
Other activities related to real estate|53139000
Passenger car rental|53211100
Passenger car leasing|53211200
Truck, utility trailer, & RV rental & leasing|53212000
Consumer electronics & appliances rental|53221000
Formal wear & costume rental|53222000
Video tape & disk rental|53223000
Home health equipment rental|53229100
Recreational goods rental|53229200
All other consumer goods rental|53229900
General rental centers|53231000
Commercial air/rail/water transportation equip rental & leasing|53241100
Construction/mining/forestry machinery & equip rental & leasing|53241200
Office machinery & equipment rental & leasing|53242000
Oth commercial/industrial machinery & equipment rental & leasing|53249000
Lessors of intangible assets, except copyrighted works|53311000
Offices of lawyers|54111000
Title abstract & settlement offices|54119100
All other legal services|54119900
Offices of certified public accountants|54121100
Tax return preparation services|54121300
Payroll services|54121400
Other accounting services|54121900
Architectural services|54131000
Landscape Architectural Services|54132000
Engineering services|54133000
Drafting services|54134000
Building inspection services|54135000
Geophysical surveying & mapping services|54136000
Surveying & mapping (except geophysical) services|54137000
Testing laboratories|54138000
Interior design services|54141000
Industrial design services|54142000
Graphic design services|54143000
Other specialized design services|54149000
Custom computer programming services|54151100
Computer systems design services|54151200
Computer facilities management services|54151300
Other computer related services|54151900
Administrative management & general management consulting service|54161100
Human resources & executive search consulting services|54161200
Marketing consulting services|54161300
Process, physical distribution, & logistics consulting services|54161400
Other management consulting services|54161800
Environmental consulting services|54162000
Other scientific & technical consulting services|54169000
R&D in the physical, engineering, & life sciences|54171000
R&D in the social sciences & humanities|54172000
Advertising agencies|54181000
Public relations agencies|54182000
Media buying services|54183000
Media representatives|54184000
Display advertising|54185000
Direct mail advertising|54186000
Advertising material distribution services|54187000
Other services related to advertising|54189000
Marketing research & public opinion polling|54191000
Photographic studios, portrait|54192100
Commercial photography|54192200
Translation & interpretation services|54193000
Veterinary Services|54194000
All other professional, scientific, & technical services|54199000
Offices of bank holding companies|55111100
Offices of other holding companies|55111200
Corporate, subsidiary, & regional managing offices|55111400
Office administrative services|56111000
Facilities support services|56121000
Employment placement agencies|56131000
Temporary help services|56132000
Employee leasing services|56133000
Document preparation services|56141000
Telephone answering services|56142100
Telemarketing bureaus|56142200
Private mail centers|56143100
Other business service centers (including copy shops)|56143900
Collection agencies|56144000
Credit bureaus|56145000
Repossession services|56149100
Court reporting & stenotype services|56149200
All other business support services|56149900
Travel agencies|56151000
Tour operators|56152000
Convention & visitors bureaus|56159100
All other travel arrangement & reservation services|56159900
Investigation services|56161100
Security guards & patrol services|56161200
Armored car services|56161300
Security systems services (except locksmiths)|56162100
Locksmiths|56162200
Exterminating & pest control services|56171000
Janitorial services|56172000
Landscaping Services|56173000
Carpet & upholstery cleaning services|56174000
Other services to buildings & dwellings|56179000
Packaging & labeling services|56191000
Convention & trade show organizers|56192000
All other support services|56199000
Solid waste collection|56211100
Hazardous waste collection|56211200
Other waste collection|56211900
Hazardous waste treatment & disposal|56221100
Solid waste landfill|56221200
Solid waste combustors & incinerators|56221300
Other nonhazardous waste treatment & disposal|56221900
Remediation services|56291000
Materials recovery facility|56292000
Septic tank & related services|56299100
All other miscellaneous waste management services|56299800
Elementary and Secondary Schools|61111000
Junior Colleges|61121000
Colleges, Universities, and Professional Schools|61131000
Business & secretarial schools|61141000
Computer training|61142000
Professional & management development training|61143000
Cosmetology & barber schools|61151100
Flight training|61151200
Apprenticeship training|61151300
Other trade & technical schools|61151900
Fine arts schools|61161000
Sports & recreation instruction|61162000
Language schools|61163000
Exam preparation & tutoring|61169100
Automobile driving schools|61169200
All other miscellaneous schools & instruction|61169900
Educational support services|61171000
Offices of physicians (except mental health specialists)|62111100
Offices of physicians, mental health specialists|62111200
Offices of dentists|62121000
Offices of chiropractors|62131000
Offices of optometrists|62132000
Offices of mental health practitioners (except physicians)|62133000
Offices of physical, occup, & speech therapists & audiologists|62134000
Offices of podiatrists|62139100
Offices of all other miscellaneous health practitioners|62139900
Family planning centers|62141000
Outpatient mental health & substance abuse centers|62142000
HMO medical centers|62149100
Kidney dialysis centers|62149200
Freestanding ambulatory surgical & emergency centers|62149300
All other outpatient care centers|62149800
Medical laboratories|62151100
Diagnostic imaging centers|62151200
Home health care services|62161000
Ambulance services|62191000
Blood & organ banks|62199100
All other miscellaneous ambulatory health care services|62199900
General medical & surgical hospitals|62211000
Psychiatric & substance abuse hospitals|62221000
Specialty (except psychiatric & substance abuse) hospitals|62231000
Nursing care facilities|62311000
Residential mental retardation facilities|62321000
Residential mental health & substance abuse facilities|62322000
Continuing care retirement communities|62331100
Homes for the elderly|62331200
Other residential care facilities|62399000
Child & youth services|62411000
Services for the elderly & persons with disabilities|62412000
Other individual & family services|62419000
Community food services|62421000
Temporary shelters|62422100
Other community housing services|62422900
Emergency & other relief services|62423000
Vocational rehabilitation services|62431000
Child day care services|62441000
Theater companies & dinner theaters|71111000
Dance companies|71112000
Musical groups & artists|71113000
Other performing arts companies|71119000
Sports teams & clubs|71121100
Racetracks|71121200
Other spectator sports|71121900
Promoters of performing arts, sports, & similar events w/facility|71131000
Promoters of performing arts, sports, & similar events w/o facil|71132000
Agents/managers for artists, athletes, & other public figures|71141000
Independent artists, writers, & performers|71151000
Museums|71211000
Historical sites|71212000
Zoos & botanical gardens|71213000
Nature parks & other similar institutions|71219000
Amusement & theme parks|71311000
Amusement arcades|71312000
Casinos (except casino hotels)|71321000
Other gambling industries|71329000
Golf courses & country clubs|71391000
Skiing facilities|71392000
Marinas|71393000
Fitness & recreational sports centers|71394000
Bowling centers|71395000
All other amusement & recreation industries|71399000
Hotels (except casino hotels) & motels|72111000
Casino hotels|72112000
Bed & breakfast inns|72119100
All other traveler accommodation|72119900
RV (recreational vehicle) parks & campgrounds|72121100
Recreational & vacation camps (except campgrounds)|72121400
Rooming & boarding houses|72131000
Full-service restaurants|72211000
Limited-service restaurants|72221100
Cafeterias|72221200
Snack & nonalcoholic beverage bars|72221300
Foodservice contractors|72231000
Caterers|72232000
Mobile foodservices|72233000
Drinking places (alcoholic beverages)|72241000
General automotive repair|81111100
Automotive exhaust system repair|81111200
Automotive transmission repair|81111300
Other automotive mechanical & electrical repair & maintenance|81111800
Automotive body, paint, & interior repair & maintenance|81112100
Automotive glass replacement shops|81112200
Automotive oil change & lubrication shops|81119100
Carwashes|81119200
All other automotive repair & maintenance|81119800
Consumer electronics repair & maintenance|81121100
Computer & office machine repair & maintenance|81121200
Communication equipment repair & maintenance|81121300
Other electronic & precision equipment repair & maintenance|81121900
Commercial & industrial machinery & equip (exc auto & electr) R&M|81131000
Home & garden equipment repair & maintenance|81141100
Appliance repair & maintenance|81141200
Reupholstery & furniture repair|81142000
Footwear & leather goods repair|81143000
Other personal & household goods repair & maintenance|81149000
Barber shops|81211100
Beauty shops|81211200
Nail salons|81211300
Diet & weight reducing services|81219100
Other personal care services|81219900
Funeral homes & funeral services|81221000
Cemeteries & crematories|81222000
Coin-operated laundries & drycleaners|81231000
Drycleaning & laundry services (except coin-operated)|81232000
Linen supply|81233100
Industrial launderers|81233200
Pet Care (except Veterinary) Services|81291000
Photofinishing laboratories (except one-hour)|81292100
One-hour photofinishing|81292200
Parking lots & garages|81293000
All other personal services|81299000
Religious Organizations|81311000
Grantmaking foundations|81321100
Voluntary health organizations|81321200
Other grantmaking & giving services|81321900
Human rights organizations|81331100
Environment, conservation, & wildlife organizations|81331200
Other social advocacy organizations|81331900
Civic & social organizations|81341000
Business associations|81391000
Professional organizations|81392000
Labor Unions and Similar Labor Organizations|81393000
Political Organizations|81394000
Other similar organizations (exc bus, prof, labor, & political)|81399000
Private Households|81411000
Other auxiliary establishments|94999900
Ginger root|11121952
Sweet potatoes|11121101
Sweet rice|11116001
Dill for oil|11121953
Sweet corn for seed|11121954
Camelina|11199813
Pastureland|11199814
Field crops, other|11199815
Unallocated irrigation water|11100099
Unallocated livestock water|11200099
ARONIA BERRIES|11133409
ELDERBERRIES|11133410
Raspberries|11133411
CHERIMOYAS|95000000
CHICKPEAS|11113009
